< sost_20250902-213742_run_com  > : CompletedProcess(args='yes | sost -f bash', returncode=0) 
< sost_20250902-213842_run_com  > : CompletedProcess(args='ipmitool fru > /tmp/sost_tmp/sost_tmp', returncode=0) 
< sost_20250902-213842_run_com  > : CompletedProcess(args='cat /tmp/sost_tmp/sost_tmp', returncode=0) 
< sost_20250902-213906_run_com  > : CompletedProcess(args='ipmitool fru > /tmp/sost_tmp/sost_tmp', returncode=0) 
< sost_20250902-213906_run_com  > : CompletedProcess(args='cat /tmp/sost_tmp/sost_tmp', returncode=0) 
< sost_20250902-213923_run_com  > : CompletedProcess(args='ipmitool fru > /tmp/sost_tmp/sost_tmp', returncode=0) 
< sost_20250902-213923_run_com  > : CompletedProcess(args='cat /tmp/sost_tmp/sost_tmp', returncode=0) 
< sost_20250902-213938_run_com  > : CompletedProcess(args='power_on_off', returncode=0) 
< sost_20250903-092610_run_com  > : CompletedProcess(args='mkdir -p /tmp/sost_tmp', returncode=0) 
< sost_20250903-092613_run_com  > : CompletedProcess(args='echo "sost : user close sost test" | sudo tee /dev/kmsg >> /dev/null', returncode=0) 
< sost_20250903-092613_run_com  > : CompletedProcess(args="sed -i 's/PermitEmptyPasswords yes/#PermitEmptyPasswords no/g' /etc/ssh/sshd_config", returncode=0) 
< sost_20250903-092613_run_com  > : CompletedProcess(args='systemctl restart sshd', returncode=0) 
< sost_20250903-092613_run_com  > : CompletedProcess(args='yes | sost -f bash', returncode=0) 
< sost_20250903-092613_run_com  > : CompletedProcess(args='rm -rf /root/.config/autostart/*', returncode=0) 
< sost_20250903-092613_run_com  > : CompletedProcess(args='yes | sost -f bash', returncode=0) 
< sost_20250903-092613_run_com  > : CompletedProcess(args="sed -i 's/root::/root:x:/' /etc/passwd", returncode=0) 
