< sost_20250908-170933_print    > : RHEL Currently mode : text , Set Autologing Success!
< sost_20250908-170937_print    > : swc_web is Running! Running-Time -> 20250908 17:09:37 (swc_web.py)
< sost_20250908-170937_print    > : swc_web -> swc_cinfo Running! (swc_web.py)
< sost_20250908-170944_print    > : Sost has enabled the server information collection service.(swc_cinfo.py)
< sost_20250909-094328_input    > : 9
< sost_20250909-094330_input    > : 2
< sost_20250909-094333_input    > : 1
< sost_20250909-094334_input    > : 
< sost_20250909-094334_input    > : 
< sost_20250909-094411_input    > : 9
< sost_20250909-094411_input    > : 2
< sost_20250909-094413_input    > : 
< sost_20250909-094413_input    > : 
< sost_20250909-094413_input    > : 
< sost_20250909-094420_input    > : 9
< sost_20250909-094420_input    > : 2
< sost_20250909-094422_input    > : 
< sost_20250909-094423_input    > : 
< sost_20250909-094425_input    > : ttytty`12
< sost_20250909-094436_input    > : 10001
