CPU_TEMP_01      | 52.000     | degrees C  | ok    | na        | na        | na        | 97.000    | 98.000    | 100.000   
CPU_TEMP_02      | 55.000     | degrees C  | ok    | na        | na        | na        | 97.000    | 98.000    | 100.000   
MB_TEMP          | 39.000     | degrees C  | ok    | na        | na        | na        | 60.000    | 61.000    | 62.000    
MB_INPUT_TEMP_01 | 32.000     | degrees C  | ok    | na        | na        | na        | 53.000    | 54.000    | 55.000    
MB_INPUT_TEMP_02 | 31.000     | degrees C  | ok    | na        | na        | na        | 53.000    | 54.000    | 55.000    
PSU_INPUT_TEMP   | 37.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        
OUTPUT_TEMP_02   | 34.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        
DIMM_TEMP        | 38.000     | degrees C  | ok    | na        | na        | na        | 85.000    | 86.000    | 87.000    
CPU_Usage        | na         |            | na    | na        | na        | na        | na        | na        | na        
Memory_Usage     | na         |            | na    | na        | na        | na        | na        | na        | na        
P12V_SYS         | 12.100     | Volts      | ok    | 10.100    | 10.500    | 10.800    | 13.200    | 13.500    | 13.600    
P5V_AUX          | 5.000      | Volts      | ok    | 4.100     | 4.300     | 4.700     | 5.300     | 5.500     | 5.700     
P1V8_CPU1_AUX    | 1.830      | Volts      | ok    | 1.240     | 1.260     | 1.710     | 1.950     | 2.080     | 2.100     
P3V3_SYS         | 3.200      | Volts      | ok    | 2.800     | 2.900     | 2.900     | 3.600     | 3.700     | 3.800     
PVCORE0_CPU1     | 0.780      | Volts      | ok    | 0.400     | 0.450     | 0.500     | 1.600     | 1.800     | 2.000     
PVCORE1_CPU1     | 0.780      | Volts      | ok    | 0.400     | 0.450     | 0.500     | 1.600     | 1.800     | 2.000     
PVDDCR_SOC_CPU1  | 0.910      | Volts      | ok    | 0.450     | 0.550     | 0.650     | 1.450     | 1.650     | 1.950     
PVDD11_S3_CPU1   | 1.110      | Volts      | ok    | 0.750     | 0.850     | 0.980     | 1.300     | 1.450     | 1.650     
PVDDIO_CPU2      | 1.110      | Volts      | ok    | 0.600     | 0.700     | 0.800     | 1.350     | 1.500     | 1.800     
